"","country","laws","web_alexa","news_alexa","removal_google","freedom_net","infocomm_imp","patent_application","patent_app_capita","broadband_speed","mobile_speed","ecommerce","ecommerce_capita","state_attack","attack_objective","attack_surveillance","attack_control","attack_intelligence","attack_commercial","attack_offense","tech_firm","tech_export","human_capital","cybermil_people","cyber_firm","computer_infection","mobile_infection","socials_use","internet_use","surveillance_firm","shodan","military_strategy","cyber_command","CERTS","multi_agreement","bilat_agreement","softpower","ITU","intent_surveillance","intent_defense","intent_control","intent_intelligence","intent_commercial","intent_offense","intent_norms","GDP_expentiture","GDP_output","pop","GDPexp_capita"
"1","Australia",2,0,0,101,72,0.827,2757,112.758146570877,2.2,7.66,26062,1065.90599054414,1,1,0,0,1,0,0,1,17,68.9,125,0,0.11,0.05,0.72,0.87,6,10.099,3,0,4,6,28,48.8,0.89,0.49,0.82,0.42,0.75,0.43,0.33,0.72,1177097.5,1158776.25,24.4505615234375,48141.9413976106
"2","Brazil",2,0,0,993,64,1.289,4980,23.7949296426918,2.703,2.899,19968,95.4090672902147,0,0,0,0,0,0,0,0,13,59.73,7,0,0.22,0.08,0.66,0.67,3,11.567,2,4,4,1,12,39.4,0.577,0.08,0.78,0.18,0.08,0.2,0,0.49,2952830.75,2890897.5,209.288284301758,14108.9156512102
"3","Canada",2,1,0,224,87,1.254,4349,118.746624609122,6.133,8.76,28418,775.935060506328,0,1,0,0,1,0,0,2,16,69.3,20,5,0.1,0.04,0.67,0.91,14,17.618,3,3,4,5,8,54.5,0.892,0.48,0.95,0.36,0.75,0.3,0.25,0.74,1629507.5,1571421.125,36.6241989135742,44492.6455277646
"4","China",4,0,21,340,10,7.077,1393815,988.859693800005,5.676,8.782,1066233,756.452497569233,19,5,19,4,99,33,1,3,31,60,10000,0,0.1,0.05,0.71,0.54,15,24.995,3,4,4,4,18,58.7,0.828,0.9,0.97,0.91,0.73,0.86,0.5,0.75,18396068,18383838,1409.51745605469,13051.3232886747
"5","DPRK",0,0,0,1,3,1.254,8354,328.511894989446,0,0,0,0,10,6,1,4,15,1,5,0,0,35.48,6500,0,0,0,0,0.1,0,0,0,4,0,0,0,27.5,0.02,0.58,0.17,0.64,0.58,0.63,0.58,0.17,40000,NA,25.429825,1572.95616466098
"6","Egypt",2,0,0,0,26,1,997,10.2200693591602,1.567,1.929,3111,31.8903066964366,1,0,0,0,0,0,0,0,1,55.99,15,0,0.2,0.19,0.41,0.47,7,26.199,0,0,4,1,3,34.8,0.842,0.17,0.46,0.04,0,0.04,0,0.43,995959.6875,1092824.125,97.5531539916992,10209.4053010807
"7","Estonia",1,0,0,11,94,0.148,24,18.3257594741812,3.209,5.208,349,266.487085687051,0,0,0,0,0,0,0,0,17,73.13,5000,0,0.13,0.02,0.69,0.89,1,10.423,3,2,4,20,24,31.7,0.905,0.5,0.83,0.14,0.08,0.13,0.33,0.69,40616.2421875,33971.1015625,1.3096319437027,31013.4785447173
"8","France",4,1,0,1157,76,5.654,14303,212.758839933124,6.917,5.153,51301,763.10852600218,0,0,0,0,0,0,0,3,26,69.6,2600,0,0.15,0.04,0.58,0.8,46,23.964,4,3,4,8,30,58.5,0.918,0.25,0.98,0.42,0.4,0.26,0.32,0.82,2754603.25,2652826.25,67.2263488769531,40975.053621339
"9","Germany",3,1,0,527,80,10.29,46617,567.709172158074,4.802,4.467,83378,1015.39042315455,0,0,0,0,0,0,0,2,16,70,14000,1,0.09,0.04,0.46,0.84,43,17.668,4,3,4,12,10,61.9,0.849,0.48,0.8,0.49,0.25,0.26,0.32,0.83,4035178.5,3905024,82.1142272949219,49141.0396581731
"10","India",1,8,2,2201,55,1.978,16289,12.1634118355264,1.824,1.215,43889,32.7730359168407,0,1,0,0,1,0,0,5,9,58.7,1887,0,0.12,0.29,0.23,0.34,10,11.81,0,2,4,5,78,41.6,0.719,0.37,0.57,0.02,0.5,0.37,0,0.6,8412113,8599774,1339.18017578125,6281.53937172237
"11","Iran",1,1,0,0,15,0.129,11908,146.717482679585,0.512,2.72,3719,45.8214912735453,14,4,0,2,25,6,9,0,1,47.5,25,0,0.07,0.53,0.5,0.64,11,25.459,0,4,3,3,9,31.5,0.641,0.08,0.5,0.66,0.67,0.74,0.58,0.35,1297464.25,1295735,81.1627883911133,15985.9496663383
"12","Israel",2,0,0,332,76,0.612,1506,180.975456345029,4.157,2.295,4335,520.935327527027,0,2,0,0,2,0,4,0,23,72.9,5000,18,0.24,0.24,0.68,0.82,27,28.102,3,0,4,8,13,42.6,0.783,0.17,0.63,0.7,0.9,0.36,0.81,0.6,322245.28125,301121.9375,8.32157039642334,38724.0948401401
"13","Italy",0,0,0,351,75,2.84,8921,150.28663770251,2.798,3.628,19424,327.22426305723,0,0,0,0,0,0,0,0,8,67.23,30,0,0.18,0.28,0.59,0.74,19,22.037,3,3,2,3,11,49.3,0.837,0.25,0.62,0.21,0.23,0.31,0,0.55,2342988.25,2255658.5,59.3599014282227,39470.8918584226
"14","Japan",4,0,2,79,73,4.383,253630,1989.49752244842,5.098,4.278,99922,783.797545393253,0,0,0,0,0,0,0,13,17,62.6,150,1,0.09,0.02,0.61,0.85,4,11.899,0,4,4,5,30,60.2,0.88,0.25,0.95,0.39,0.25,0.47,0.14,0.82,5107477,5147025.5,127.484451293945,40063.5289100748
"15","Lithuania",1,0,0,6,91,0.097,81,28.0248022236476,5.283,5.435,777,268.830510219435,0,0,0,0,0,0,0,0,12,70.81,300,0,0.13,0.02,0.6,0.8,3,11.854,2,0,4,7,13,27.5,0.908,0.21,0.61,0.07,0.04,0.16,0,0.35,89414.0703125,75125.015625,2.89029693603516,30935.9461298659
"16","Malaysia",2,0,0,18,57,0.908,1116,35.2893590930206,4.048,2.298,4234,133.884539784811,0,0,0,0,0,0,0,0,53,68.29,300,0,0.22,0.15,0.78,0.81,5,22.38,0,1,4,5,21,37.4,0.893,0.3,0.78,0.05,0,0.33,0,0.56,822249.75,720269.25,31.6242637634277,26000.5973941724
"17","Netherlands",1,0,0,43,99,4.999,2111,123.914513390339,5.712,8.633,16559,972.003992056193,0,1,0,0,1,0,0,2,23,73.07,260,0,0.08,0.04,0.64,0.95,6,10.172,3,4,4,10,7,48.9,0.885,0.49,0.98,0.29,0.9,0.45,0.4,0.75,852206.6875,793901.3125,17.0359382629395,50024.0535241853
"18","New Zealand",1,0,0,12,97,0.204,1017,216.115447283646,5.613,6.416,3237,687.871880882165,0,1,0,0,1,0,0,0,10,74.14,125,0,0.11,0.05,0.75,0.91,3,13.286,2,0,2,9,3,43.5,0.789,0.48,0.8,0.47,0.75,0.32,0,0.54,183458.546875,171940.21875,4.70581817626953,38985.4728769895
"19","ROK",1,0,1,749,64,0.72,162561,3188.58271170109,6.089,9.745,70902,1390.72035374432,0,1,0,0,1,0,0,3,36,62.9,1000,0,0.08,0.03,0.85,0.95,5,31.095,0,4,4,8,27,48.3,0.873,0.23,0.63,0.14,0.67,0.32,0.15,0.61,1923307.375,1848847.125,50.9822120666504,37725.067176089
"20","Russia",4,0,1,22102,31,1.491,24926,173.109530607333,3.273,2.414,22312,154.955462044083,29,3,0,7,62,0,16,0,11,47,1000,1,0.09,0.02,0.49,0.76,15,33.754,4,4,4,0,14,51,0.836,0.9,0.71,0.8,0.81,0.39,0.73,0.63,3395066.5,3251424.5,143.989761352539,23578.5271682453
"21","Saudi Arabia",1,1,0,33,25,0.1,1078,32.7279439415233,3.094,6.481,6042,183.434357416219,0,1,2,0,0,0,0,0,1,58.52,18,0,0.21,0.1,0.68,0.93,7,22.646,0,0,4,0,2,41.9,0.881,0.62,0.58,0.04,0,0.22,0,0.34,1313926.625,1269705.125,32.9382133483887,39890.6464993274
"22","Singapore",2,0,0,8,56,2,1575,275.887718948902,10,6.51,2323,406.91248959892,0,0,0,0,0,0,0,0,52,73.28,500,0,0.09,0.08,0.79,0.88,5,8.059,0,1,4,4,29,44.8,0.898,0.39,0.61,0.05,0.17,0.33,0,0.5,455808.78125,383281.03125,5.70884418487549,79842.5682132961
"23","Spain",1,0,0,95,92,2.016,1525,32.8987672064049,6.477,3.96,20075,433.077214208904,0,1,0,0,1,0,1,0,7,65.6,400,0,0.19,0.05,0.6,0.86,6,22.477,3,4,4,10,19,47.6,0.896,0.4,0.8,0.27,0.9,0.37,0.73,0.64,1725901.25,1654669.375,46.354320526123,37232.802259012
"24","Sweden",1,0,0,5,100,2.216,1838,185.456108246602,6.821,5.65,11156,1125.65198237165,0,0,0,0,0,0,0,1,14,68.2,30,0,0.04,0.02,0.72,0.96,9,13.043,3,3,4,8,7,51.9,0.81,0.4,0.88,0.21,0.25,0.43,0.23,0.66,474642.53125,429885.375,9.91070079803467,47891.9241860398
"25","Switzerland",1,0,0,23,96,2,1283,151.368487921838,7.515,6.169,8233,971.330289213168,0,0,0,0,0,0,0,2,13,72.7,500,0,0.07,0.03,0.51,0.9,10,10.189,0,4,4,4,2,54.5,0.788,0.48,0.8,0.14,0.23,0.46,0,0.79,533365.9375,544323.0625,8.4760046005249,62926.5747999912
"26","Turkey",2,0,0,1880,37,0.087,7156,88.6246628804267,1.224,3.831,10510,130.162829356244,0,0,0,0,0,0,0,0,2,47.6,10,0,0.07,0.03,0.63,0.65,11,20.942,3,4,4,5,12,39.4,0.853,0.4,0.63,0.04,0.08,0.34,0,0.6,2151847,2201324.25,80.7450180053711,26649.9042684821
"27","Ukraine",1,0,0,52,56,0.176,2107,47.6449486663251,2.627,2.578,724,16.3715912835403,0,0,0,0,0,0,0,0,5,60.8,0,0,0.09,0.02,0.59,0.59,4,22.18,3,3,4,5,8,31.7,0.661,0.3,0.59,0.18,0.38,0.29,0,0.52,424613.6875,420628.71875,44.2229461669922,9601.65986898742
"28","United Kingdom",1,2,0,352,77,4.184,12865,194.389414647648,3.396,4.237,92192,1393.01585038445,0,3,0,0,2,0,1,1,23,66.6,14950,6,0.08,0.03,0.67,0.95,106,15.817,4,1,4,6,38,61.8,0.931,0.5,1,0.5,1,0.48,1,0.84,2788747.5,2589545.25,66.1815872192383,42137.8153225878
"29","United States",2,35,20,966,77,11.297,285095,878.67676559422,6.72,4.99,386356,1190.76813149273,2,3,0,1,7,0,7,45,19,73.8,7000,114,0.09,0.08,0.75,0.87,132,96.118,4,4,4,9,69,67.1,0.926,0.48,0.97,0.91,0.9,0.39,0.9,0.82,18219510,17778680,324.45947265625,56153.4229555466
"30","Vietnam",0,0,0,130,24,1.5,646,6.76150907741798,2.194,4.067,5781,60.5081795302683,1,3,1,2,1,0,0,0,41,47.6,5000,0,0.12,0.06,0.64,0.58,3,16.074,0,2,4,6,6,31.3,0.693,0.77,0.38,0.7,0.58,0.18,0,0.4,614762.625,558548.9375,95.5408020019531,6434.55583497648
