country,sum_rank,mean_rank,attack_objective,broadband_speed,computer_infection,cyber_firm,cybermil_people,ecommerce,ecommerce_capita,freedom_net,freedom_press,human_capital,infocomm_imp,int_agreement,internet_use,laws,mobile_infection,mobile_speed,news_alexa,patent_app_capita,patent_application,removal_google,shodan,socials_use,surveillance_firm,tech_export,tech_firm,web_alexa
Australia,400.5,15.4038461538462,18,6,12,11,9,4,8,14,21.5,18,20,27,18.5,19,12,24,11.5,12,14,15,27,23.5,11,17,17,10.5
Brazil,255.5,9.82692307692308,7.5,8,1.5,11,1,15,6,12.5,10,8,16,5.5,8,19,8,8,11.5,6,16,5,23,16,3,11.5,8,10.5
Canada,455,17.5,18,22,13.5,25,5,20,19,22,21.5,19,17,5.5,23,19,15.5,26,11.5,13,15,13,16,17.5,20,14.5,20.5,23
China,441.5,17.66,28,19,13.5,11,25,28,18,1,,9,3,15.5,3,26.5,12,27,28,26,28,11,7,22,21.5,24,24,10.5
Egypt,195,7.5,7.5,3,4,11,3,10,5,5,7,5,18,2.5,2,19,4,2,11.5,3,4,27.5,5,2,13.5,2,8,10.5
Estonia,379,14.5769230769231,7.5,11,8.5,11,22,1,13,25,14,26,24,22,21,8.5,24.5,18,11.5,5,1,23,24,21,1,17,8,10.5
France,433,16.6538461538462,7.5,26,7,11,20,22,17,17.5,17,20,4,24,11.5,26.5,15.5,17,11.5,22,21,4,8,7,26,23,24,23
Germany,454.5,17.4807692307692,7.5,16,17.5,23,26,24,23,21,20,21,2,15.5,15,24,15.5,15,11.5,24,24,8,15,3,25,14.5,20.5,23
India,320,12.3076923076923,18,4,10.5,11,19,21,1,8,16,7,13,25,1,8.5,2,1,25.5,4,22,2,22,1,16.5,8,26,27
Iran,276.5,10.6346153846154,27,1,25,11,6,6,3,2,5,2,25,5.5,6,8.5,1,7,11.5,15,19,27.5,6,5,18.5,2,8,23
Israel,391.5,16.3125,22,15,,27,22,12,25,17.5,18,24,22,13.5,14,19,,3,11.5,19,8,12,4,19.5,24,21,8,10.5
Italy,277,10.6538461538462,7.5,9,6,11,7.5,17,14,16,12.5,15,8,5.5,9,1.5,3,9,11.5,16,18,10,13,8.5,23,7,8,10.5
Japan,447.5,17.2115384615385,7.5,17,17.5,23,10,26,20,15,9,11,6,17,16,26.5,24.5,14,25.5,27,26,17,20,12,5.5,17,27,10.5
Lithuania,340.5,13.0961538461538,7.5,18,8.5,11,12.5,2,12,23,11,22,27,19,11.5,8.5,24.5,19,11.5,2,2,25,21,10.5,3,10,8,10.5
Malaysia,327.5,12.5961538461538,7.5,14,1.5,11,12.5,9,10,11,15,17,19,19,13,19,5,4,11.5,9,6,22,11,26,8,28,8,10.5
Netherlands,450,17.3076923076923,18,20,22,11,11,16,21,27,24.5,25,5,13.5,26,8.5,15.5,25,11.5,14,13,19,26,14.5,11,21,20.5,10.5
Russia,344.5,13.25,24.5,12,17.5,23,17.5,18,11,6,4,1,15,8.5,10,26.5,24.5,5,23.5,18,23,1,2,4,21.5,9,8,10.5
Saudi Arabia,269,10.76,18,10,3,11,4,3,4,4,,6,26,1,24,8.5,6,22,11.5,7,5,20,9,19.5,13.5,2,8,23
Singapore,419.5,16.1346153846154,7.5,28,17.5,11,15.5,5,16,9.5,1,27,11.5,23,20,19,8,23,11.5,23,10,24,28,27,8,27,8,10.5
South Korea,477,18.3461538461538,18,21,22,11,17.5,23,28,12.5,8,12,21,19,26,8.5,19.5,28,23.5,28,25,7,3,28,8,25,24,10.5
Spain,334.5,12.8653846153846,18,23,5,11,14,19,15,24,12.5,13,10,21,17,8.5,12,11,11.5,8,9,16,10,10.5,11,6,8,10.5
Sweden,451,17.3461538461538,7.5,25,27,11,7.5,14,24,28,24.5,16,9,10,28,8.5,24.5,20,11.5,20,11,26,19,23.5,15,13,17,10.5
Switzerland,425.5,16.3653846153846,7.5,27,25,11,15.5,11,22,26,26,23,11.5,2.5,22,8.5,19.5,21,11.5,17,7,21,25,6,16.5,11.5,20.5,10.5
Turkey,288,11.0769230769231,7.5,2,25,11,2,13,9,7,2,3.5,28,12,7,19,19.5,10,11.5,11,17,3,14,13,18.5,4,8,10.5
Ukraine,259.5,10.38,7.5,7,17.5,11,,8,7,9.5,3,10,23,11,5,8.5,24.5,6,11.5,10,12,18,12,8.5,5.5,5,8,10.5
United Kingdom,508,19.5384615384615,24.5,13,22,26,27,25,26,19.5,23,14,7,26,26,8.5,19.5,13,11.5,21,20,9,18,17.5,27,21,17,26
United States,543,20.8846153846154,24.5,24,17.5,28,24,27,27,19.5,19,28,1,28,18.5,19,8,16,27,25,27,6,1,25,28,19,28,28
Vietnam,253,9.73076923076923,24.5,5,10.5,11,22,7,2,3,6,3.5,14,8.5,4,1.5,10,12,11.5,1,3,14,17,14.5,3,26,8,10.5
